label,country,admin1,cluster,Aroma,Flavor,Aftertaste,Acidity,Body,Balance
Peru/Lambayeque,Peru,Lambayeque,独自の味わい,-0.121667,0.038333,-0.041667,-0.041667,0.128333,0.038333
Peru/Puno,Peru,Puno,後味すっきり (C3),0.056667,0.056667,-0.193333,-0.033333,0.056667,0.056667
Philippines/Cordillera,Philippines,Cordillera,コク深い・後味すっきり・あっさり (C2),0.005833,-0.159167,-0.159167,-0.034167,0.130833,0.215833
Philippines/Davao,Philippines,Davao,酸味しっかり・香り控えめ (C1),-0.251667,-0.001667,0.088333,-0.001667,-0.001667,0.168333
Philippines/Northern Mindanao,Philippines,Northern Mindanao,独自の味わい,0.011667,0.011667,0.101667,0.011667,-0.068333,-0.068333
Rwanda/Northern,Rwanda,Northern,後味すっきり (C3),0.025,0.115,-0.055,0.025,-0.055,-0.055
Taiwan/Changhua,Taiwan,Changhua,独自の味わい,0.078889,0.078889,0.037222,-0.102778,0.010556,-0.102778
Taiwan/Chiayi,Taiwan,Chiayi,香り華やか・軽やか (C5),0.100556,0.053889,-0.002778,0.036111,-0.103889,-0.083889
Taiwan/Miaoli,Taiwan,Miaoli,香り華やか・軽やか (C5),0.34,0.215,0.05,-0.115,-0.245,-0.245
Taiwan/Nantou,Taiwan,Nantou,バランス良好 (C4),0.061574,-0.053981,-0.059537,-0.055093,0.04713,0.059907
Taiwan/New Taipei,Taiwan,New Taipei,バランス良好 (C4),0.141667,-0.028333,-0.028333,-0.028333,-0.028333,-0.028333
Taiwan/Pingtung,Taiwan,Pingtung,コク深い・後味すっきり・あっさり (C2),0.236667,-0.183333,-0.343333,-0.183333,0.156667,0.316667
Taiwan/Taichung,Taiwan,Taichung,香り華やか・軽やか (C5),0.155,0.081667,-0.021667,-0.049444,-0.068333,-0.097222
Taiwan/Tainan,Taiwan,Tainan,コク深い・後味すっきり・あっさり (C2),0.02549,-0.023922,-0.106863,0.006078,0.079608,0.019608
Taiwan/Taitung,Taiwan,Taitung,バランス良好 (C4),-0.055,0.025,0.115,-0.225,-0.055,0.195
Taiwan/Yunlin,Taiwan,Yunlin,独自の味わい,0.07,0.043333,0.013333,-0.07,0.04,-0.096667
"Tanzania, United Republic Of/Arusha","Tanzania, United Republic Of",Arusha,バランス良好 (C4),0.07451,-0.033137,-0.064314,0.019804,0.00451,-0.001373
"Tanzania, United Republic Of/Kilimanjaro","Tanzania, United Republic Of",Kilimanjaro,コク深い・後味すっきり・あっさり (C2),0.098333,-0.14,-0.096667,0.056667,0.07,0.011667
"Tanzania, United Republic Of/Mbeya","Tanzania, United Republic Of",Mbeya,バランス良好 (C4),0.080556,-0.031111,-0.002778,-0.001111,-0.042778,-0.002778
"Tanzania, United Republic Of/Ruvuma","Tanzania, United Republic Of",Ruvuma,バランス良好 (C4),0.094762,-0.046667,-0.058095,0.010476,0.023333,-0.02381
Thailand/Chiang Rai,Thailand,Chiang Rai,酸味しっかり・香り控えめ (C1),-0.124074,0.07037,-0.004074,0.044815,-0.002963,0.015926
Uganda/Central,Uganda,Central,独自の味わい,0.255833,-0.034167,-0.034167,-0.159167,0.130833,-0.159167
Uganda/Eastern,Uganda,Eastern,香り華やか・軽やか (C5),0.17127,0.033651,-0.097778,-0.006825,-0.03873,-0.061587
Uganda/Southern,Uganda,Southern,コク深い・後味すっきり・あっさり (C2),0.195,-0.135,-0.225,0.025,0.115,0.025
Uganda/West Nile,Uganda,West Nile,香り華やか・軽やか (C5),0.250833,0.125833,-0.044167,0.000833,-0.209167,-0.124167
Uganda/Western,Uganda,Western,独自の味わい,0.092167,0.024167,-0.125833,-0.015833,0.067167,-0.041833
United States (Hawaii)/Kona,United States (Hawaii),Kona,コク深い・後味すっきり・あっさり (C2),-0.010429,-0.017399,-0.086338,0.015783,0.042298,0.056086
United States (Puerto Rico)/Yauco,United States (Puerto Rico),Yauco,コク深い・後味すっきり・あっさり (C2),0.050417,-0.057083,-0.117083,0.005417,0.067917,0.050417
Vietnam/Lâm Đồng,Vietnam,Lâm Đồng,独自の味わい,0.0475,0.0325,-0.2175,-0.080833,0.144167,0.074167
Zambia/Southern,Zambia,Southern,コク深い・後味すっきり・あっさり (C2),0.225,-0.365,-0.025,-0.115,0.305,-0.025
