,Species,Country.of.Origin,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Moisture,Total.Cup.Points,Cluster,FlavorCluster,Country_Group,Processing_Group,Variety_Group
894,Arabica,United States (Hawaii),Hawaiian Kona,Washed / Wet,7.42,7.33,7.33,7.33,7.17,7.83,10.0,10.0,10.0,0.1,81.67,1,酸味系,United States (Hawaii),ウォッシュド,Hawaiian Kona
895,Arabica,Honduras,Catimor,Washed / Wet,7.5,7.42,7.08,7.42,7.5,7.33,10.0,10.0,10.0,0.11,81.58,1,酸味系,Honduras,ウォッシュド,その他
896,Arabica,Guatemala,Bourbon,Washed / Wet,7.42,7.42,7.08,7.5,7.42,7.33,10.0,10.0,10.0,0.12,81.58,1,酸味系,Guatemala,ウォッシュド,Bourbon
897,Arabica,Taiwan,Typica,Washed / Wet,7.42,7.42,7.25,7.67,7.33,7.25,10.0,10.0,10.0,0.1,81.58,1,酸味系,Taiwan,ウォッシュド,Typica
898,Arabica,Costa Rica,Caturra,Washed / Wet,7.58,7.42,7.5,7.17,7.08,7.58,10.0,10.0,10.0,0.12,81.58,0,香り系,Costa Rica,ウォッシュド,Caturra
899,Arabica,"Tanzania, United Republic Of",Other,Washed / Wet,7.42,7.42,7.33,7.42,7.42,7.33,10.0,10.0,10.0,0.12,81.58,2,コク・バランス系,"Tanzania, United Republic Of",ウォッシュド,Other
900,Arabica,Malawi,Gesha,Washed / Wet,7.42,7.42,7.17,7.58,7.33,7.33,10.0,10.0,10.0,0.13,81.58,1,酸味系,その他,ウォッシュド,その他
901,Arabica,Taiwan,Typica,Semi-washed / Semi-pulped,7.33,7.17,7.08,7.08,8.33,8.25,10.0,10.0,9.33,0.0,81.58,3,丸み系,Taiwan,セミウォッシュド,Typica
902,Arabica,Brazil,Yellow Bourbon,Washed / Wet,7.42,7.42,7.33,7.33,7.5,7.25,10.0,10.0,10.0,0.12,81.58,2,コク・バランス系,Brazil,ウォッシュド,Yellow Bourbon
903,Arabica,Guatemala,Bourbon,Washed / Wet,7.42,7.33,7.17,7.58,7.42,7.5,10.0,10.0,10.0,0.12,81.58,1,酸味系,Guatemala,ウォッシュド,Bourbon
904,Arabica,Mexico,Typica,Washed / Wet,7.67,7.5,7.42,7.5,6.75,7.42,10.0,10.0,10.0,0.12,81.58,1,酸味系,Mexico,ウォッシュド,Typica
905,Arabica,Mexico,Marigojipe,Natural / Dry,7.33,7.5,7.25,7.5,7.5,7.17,10.0,10.0,10.0,0.11,81.58,1,酸味系,Mexico,ナチュラル,その他
906,Arabica,Mexico,Typica,Natural / Dry,7.67,7.58,7.42,7.58,7.58,7.42,10.0,10.0,8.67,0.11,81.58,1,酸味系,Mexico,ナチュラル,Typica
907,Arabica,Thailand,,,7.08,7.33,7.58,7.58,7.17,7.5,10.0,10.0,10.0,0.01,81.58,1,酸味系,Thailand,その他,その他
908,Arabica,Thailand,,,7.33,7.33,7.17,7.5,7.58,7.33,10.0,10.0,10.0,0.2,81.58,1,酸味系,Thailand,その他,その他
909,Arabica,Costa Rica,,,7.25,7.17,7.33,7.33,7.5,7.75,10.0,10.0,10.0,0.0,81.58,2,コク・バランス系,Costa Rica,その他,その他
910,Arabica,Guatemala,Bourbon,Washed / Wet,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10.0,10.0,0.1,81.5,1,酸味系,Guatemala,ウォッシュド,Bourbon
911,Arabica,Nicaragua,Caturra,Other,7.5,7.42,7.33,7.33,7.25,7.33,10.0,10.0,10.0,0.11,81.5,0,香り系,その他,その他,Caturra
912,Arabica,Honduras,Caturra,Washed / Wet,7.5,7.5,7.33,7.42,7.17,7.25,10.0,10.0,10.0,0.1,81.5,0,香り系,Honduras,ウォッシュド,Caturra
913,Arabica,Guatemala,Bourbon,,7.5,7.42,7.25,7.25,7.5,7.25,10.0,10.0,10.0,0.12,81.5,1,酸味系,Guatemala,その他,Bourbon
914,Arabica,Taiwan,Typica,Natural / Dry,7.5,7.42,7.33,7.08,7.58,7.25,10.0,10.0,10.0,0.12,81.5,0,香り系,Taiwan,ナチュラル,Typica
915,Arabica,Myanmar,Catuai,Washed / Wet,7.25,7.42,7.25,7.5,7.33,7.33,10.0,10.0,10.0,0.0,81.5,1,酸味系,その他,ウォッシュド,Catuai
916,Arabica,Costa Rica,Caturra,Washed / Wet,7.83,7.33,7.08,7.08,7.33,7.5,10.0,10.0,10.0,0.12,81.5,1,酸味系,Costa Rica,ウォッシュド,Caturra
917,Arabica,Malawi,Gesha,Washed / Wet,7.67,7.42,6.92,7.5,7.5,7.17,10.0,10.0,10.0,0.12,81.5,1,酸味系,その他,ウォッシュド,その他
